"Date","White Ball 1","White Ball 2","White Ball 3","White Ball 4","White Ball 5","Powerball","White Ball Sum","White Ball Mean","Jackpot (Annuity)","Day Of Week","Ascendant Sign","Ascendant Deg","Moon Illum %","Moon Phase","Moon Nakshatra","Moon Nakshatra (ML)","Nakshatra No","Pada","Sun Sign","Sun Deg","Sun House","Sun Dignity","Moon Sign","Moon Deg","Moon House","Moon Dignity","Mercury Sign","Mercury Deg","Mercury House","Mercury Dignity","Venus Sign","Venus Deg","Venus House","Venus Dignity","Mars Sign","Mars Deg","Mars House","Mars Dignity","Jupiter Sign","Jupiter Deg","Jupiter House","Jupiter Dignity","Saturn Sign","Saturn Deg","Saturn House","Saturn Dignity","Rahu Sign","Rahu Deg","Rahu House","Rahu Dignity"
"2026-03-11","3","6","55","58","63","12","185","37.0","","Wednesday","Libra","11","43","Waning","Mula","മൂലം","19","2","Aquarius","27","5","","Sagittarius","5","3","","Aquarius","18","5","","Pisces","13","6","EXALTED","Aquarius","13","5","","Gemini","21","9","","Pisces","9","6","","Aquarius","15","5",""
"2026-03-09","22","23","28","36","54","13","163","32.6","","Monday","Libra","9","62","Waning","Anuradha","അനിഴം","17","3","Aquarius","25","5","","Scorpio","11","2","DEBILITATED","Aquarius","20","5","","Pisces","10","6","EXALTED","Aquarius","12","5","","Gemini","21","9","","Pisces","9","6","","Aquarius","15","5",""
"2026-03-07","17","18","30","50","68","24","183","36.6","","Saturday","Libra","20","79","Waning","Swati","ചോതി","15","4","Aquarius","23","5","","Libra","18","1","","Aquarius","22","5","","Pisces","8","6","EXALTED","Aquarius","10","5","","Gemini","21","9","","Pisces","8","6","","Aquarius","15","5",""
"2026-03-04","7","14","42","47","56","6","166","33.2","","Wednesday","Libra","18","97","Waning","Hasta","അത്തം","13","1","Aquarius","20","5","","Virgo","11","12","","Aquarius","25","5","","Pisces","4","6","EXALTED","Aquarius","8","5","","Gemini","21","9","","Pisces","8","6","","Aquarius","15","5",""
"2026-03-02","2","17","18","38","62","20","137","27.4","$250,800,000","Monday","Libra","16","100","Waxing","Purva Phalguni","പൂരം","11","1","Aquarius","18","5","","Leo","14","11","","Aquarius","26","5","","Pisces","2","6","EXALTED","Aquarius","6","5","","Gemini","21","9","","Pisces","8","6","","Aquarius","15","5",""
"2026-02-28","6","20","35","54","65","10","180","36.0","","Saturday","Libra","14","94","Waxing","Ashlesha","ആയില്യം","9","1","Aquarius","16","5","","Cancer","17","10","","Aquarius","28","5","","Aquarius","29","5","","Aquarius","5","5","","Gemini","21","9","","Pisces","8","6","","Aquarius","15","5",""
"2026-02-25","50","52","54","56","64","23","276","55.2","","Wednesday","Libra","12","69","Waxing","Mrigashira","മകയിരം","5","4","Aquarius","13","5","","Gemini","5","9","","Aquarius","28","5","","Aquarius","25","5","","Aquarius","2","5","","Gemini","21","9","","Pisces","7","6","","Aquarius","15","5",""
"2026-02-23","5","11","23","29","47","6","115","23.0","","Monday","Libra","10","46","Waxing","Krittika","കാർത്തിക","3","4","Aquarius","11","5","","Taurus","7","8","EXALTED","Aquarius","28","5","","Aquarius","23","5","","Aquarius","1","5","","Gemini","21","9","","Pisces","7","6","","Aquarius","15","5",""
"2026-02-21","27","28","36","48","49","21","188","37.6","","Saturday","Libra","8","24","Waxing","Ashwini","അശ്വതി","1","3","Aquarius","9","5","","Aries","8","7","","Aquarius","27","5","","Aquarius","20","5","","Capricorn","29","4","EXALTED","Gemini","21","9","","Pisces","7","6","","Aquarius","15","5",""
"2026-02-18","9","33","52","64","66","1","224","44.8","","Wednesday","Libra","6","3","Waxing","Purva Bhadrapada","പൂരുരുട്ടാതി","25","3","Aquarius","6","5","","Aquarius","27","5","","Aquarius","24","5","","Aquarius","17","5","","Capricorn","27","4","EXALTED","Gemini","22","9","","Pisces","6","6","","Aquarius","15","5",""
